city:ADELAIDE|nodes:7548|edges:9257
city:BELFAST|nodes:1917|edges:2181
city:BERLIN|nodes:4601|edges:11598
city:BORDEAUX|nodes:3435|edges:4039
city:BRISBANE|nodes:9645|edges:11738
city:CANBERRA|nodes:2764|edges:3218
city:DETROIT|nodes:5683|edges:5946
city:DUBLIN|nodes:4571|edges:5567
city:GRENOBLE|nodes:1547|edges:1682
city:HELSINKI|nodes:6986|edges:9067
city:KUOPIO|nodes:549|edges:704
city:LISBON|nodes:7073|edges:8982
city:LUXEMBOURG|nodes:1367|edges:3226
city:MELBOURNE|nodes:19493|edges:21733
city:NANTES|nodes:2353|edges:2779
city:PALERMO|nodes:2176|edges:2561
city:PARIS|nodes:11956|edges:14648
city:PRAGUE|nodes:5147|edges:6735
city:RENNES|nodes:1407|edges:1671
city:ROME|nodes:7868|edges:10138
city:SYDNEY|nodes:24063|edges:28815
city:TOULOUSE|nodes:3329|edges:3793
city:TURKU|nodes:1850|edges:2341
city:VENICE|nodes:1874|edges:2702
city:WINNIPEG|nodes:5079|edges:5846
